VIN,VSS,VDD,IDD,ISS,VREF,IIN,VOUT,@TIME
2.0,0.0,3.3,8.5368e-10,-8.6597e-10,0.5,9.91e+307,1.526118,153.0
2.0,0.0,3.3,8.5027e-10,-8.6586e-10,0.5,9.91e+307,1.526198,154.0
2.0,0.0,3.3,8.5181e-10,-8.6778e-10,0.5,9.91e+307,1.526054,155.0
2.0,0.0,3.3,8.5347e-10,-8.6682e-10,0.5,9.91e+307,1.525966,156.0
2.0,0.0,3.3,8.5217e-10,-8.6625e-10,0.5,9.91e+307,1.526,157.0
2.0,0.0,3.3,8.5016e-10,-8.6557e-10,0.5,9.91e+307,1.526128,158.0
2.0,0.0,3.3,8.5219e-10,-8.6847e-10,0.5,9.91e+307,1.526012,159.0
2.0,0.0,3.3,8.5151e-10,-8.6695e-10,0.5,9.91e+307,1.52595,160.0
2.0,0.0,3.3,8.5229e-10,-8.6631e-10,0.5,9.91e+307,1.526114,161.0
2.0,0.0,3.3,8.5057e-10,-8.6571e-10,0.5,9.91e+307,1.52609,162.0
2.0,0.0,3.3,8.4863e-10,-8.729e-10,0.5,9.91e+307,1.526094,163.0
2.0,0.0,3.3,8.4754e-10,-8.6616e-10,0.5,9.91e+307,1.526214,164.0
2.0,0.0,3.3,8.509e-10,-8.6595e-10,0.5,9.91e+307,1.526112,165.0
2.0,0.0,3.3,8.5101e-10,-8.6644e-10,0.5,9.91e+307,1.52603,166.0
2.0,0.0,3.3,8.4801e-10,-8.6285e-10,0.5,9.91e+307,1.526146,167.0
2.0,0.0,3.3,8.5234e-10,-8.6631e-10,0.5,9.91e+307,1.526066,168.0
2.0,0.0,3.3,8.5085e-10,-8.6659e-10,0.5,9.91e+307,1.526078,169.0
2.0,0.0,3.3,8.5067e-10,-8.6605e-10,0.5,9.91e+307,1.52615,170.0
2.0,0.0,3.3,8.471e-10,-8.6616e-10,0.5,9.91e+307,1.52623,171.0
2.0,0.0,3.3,8.4969e-10,-8.6565e-10,0.5,9.91e+307,1.526038,172.0
2.0,0.0,3.3,8.4943e-10,-8.6656e-10,0.5,9.91e+307,1.526,173.0
