VIN,VSS,VDD,IDD,ISS,VREF,IREF,VOUT
2.85,0.0,3.3,1.19605e-08,9.91e+307,0.5,9.91e+307,0.494392
2.9,0.0,3.3,1.17807e-08,9.91e+307,0.5,9.91e+307,0.441944
2.95,0.0,3.3,1.20897e-08,9.91e+307,0.5,9.91e+307,0.43604
3.0,0.0,3.3,1.25195e-08,9.91e+307,0.5,9.91e+307,0.498904
0.0,0.0,3.3,3.4e-13,9.91e+307,0.75,9.91e+307,2.6e-05
0.05,0.0,3.3,8e-14,9.91e+307,0.75,9.91e+307,1e-05
0.1,0.0,3.3,6.4e-13,9.91e+307,0.75,9.91e+307,1.4e-05
0.15,0.0,3.3,2.87e-12,9.91e+307,0.75,9.91e+307,1.6e-05
0.2,0.0,3.3,1.519e-11,9.91e+307,0.75,9.91e+307,3.6e-05
0.25,0.0,3.3,7.811e-11,9.91e+307,0.75,9.91e+307,0.000138
0.3,0.0,3.3,3.33e-10,9.91e+307,0.75,9.91e+307,0.000608
0.35,0.0,3.3,1.10349e-09,9.91e+307,0.75,9.91e+307,0.001968
0.4,0.0,3.3,2.98731e-09,9.91e+307,0.75,9.91e+307,0.005082
0.45,0.0,3.3,6.0565e-09,9.91e+307,0.75,9.91e+307,0.010876
0.5,0.0,3.3,5.83381e-09,9.91e+307,0.75,9.91e+307,0.014146
0.55,0.0,3.3,2.71679e-09,9.91e+307,0.75,9.91e+307,0.00635
0.6,0.0,3.3,1.56761e-09,9.91e+307,0.75,9.91e+307,0.002126
0.65,0.0,3.3,2.28483e-09,9.91e+307,0.75,9.91e+307,0.004182
0.7,0.0,3.3,1.43626e-09,9.91e+307,0.75,9.91e+307,0.003004
0.75,0.0,3.3,1.0605e-09,9.91e+307,0.75,9.91e+307,0.001582
0.8,0.0,3.3,2.3906e-10,9.91e+307,0.75,9.91e+307,0.001294
0.85,0.0,3.3,5.166e-10,9.91e+307,0.75,9.91e+307,0.000884
0.9,0.0,3.3,6.6973e-10,9.91e+307,0.75,9.91e+307,0.000816
0.95,0.0,3.3,2.0456e-10,9.91e+307,0.75,9.91e+307,0.00068
1.0,0.0,3.3,3.6631e-10,9.91e+307,0.75,9.91e+307,0.000372
1.05,0.0,3.3,2.6802e-10,9.91e+307,0.75,9.91e+307,0.000804
1.1,0.0,3.3,3.3872e-10,9.91e+307,0.75,9.91e+307,0.00061
1.15,0.0,3.3,4.9835e-10,9.91e+307,0.75,9.91e+307,0.000674
1.2,0.0,3.3,3.8973e-10,9.91e+307,0.75,9.91e+307,0.000724
1.25,0.0,3.3,3.1101e-10,9.91e+307,0.75,9.91e+307,0.000644
1.3,0.0,3.3,2.7042e-10,9.91e+307,0.75,9.91e+307,0.000888
1.35,0.0,3.3,2.7853e-10,9.91e+307,0.75,9.91e+307,0.000596
1.4,0.0,3.3,6.3392e-10,9.91e+307,0.75,9.91e+307,0.000418
1.45,0.0,3.3,6.6322e-10,9.91e+307,0.75,9.91e+307,0.000822
1.5,0.0,3.3,9.7132e-10,9.91e+307,0.75,9.91e+307,0.00121
1.55,0.0,3.3,8.6426e-10,9.91e+307,0.75,9.91e+307,0.00186
1.6,0.0,3.3,1.53256e-09,9.91e+307,0.75,9.91e+307,0.002314
1.65,0.0,3.3,2.33166e-09,9.91e+307,0.75,9.91e+307,0.003786
1.7,0.0,3.3,2.23626e-09,9.91e+307,0.75,9.91e+307,0.004186
1.75,0.0,3.3,4.27263e-09,9.91e+307,0.75,9.91e+307,0.006068
1.8,0.0,3.3,1.22792e-08,9.91e+307,0.75,9.91e+307,0.020422
1.85,0.0,3.3,1.36482e-08,9.91e+307,0.75,9.91e+307,0.027676
1.9,0.0,3.3,1.24983e-08,9.91e+307,0.75,9.91e+307,0.025146
1.95,0.0,3.3,1.07817e-08,9.91e+307,0.75,9.91e+307,0.024266
2.0,0.0,3.3,1.04538e-08,9.91e+307,0.75,9.91e+307,0.018234
2.05,0.0,3.3,9.6648e-09,9.91e+307,0.75,9.91e+307,0.02135
2.1,0.0,3.3,1.18712e-08,9.91e+307,0.75,9.91e+307,0.01912
2.15,0.0,3.3,1.38156e-08,9.91e+307,0.75,9.91e+307,0.022816
2.2,0.0,3.3,1.75032e-08,9.91e+307,0.75,9.91e+307,0.028004
2.25,0.0,3.3,2.05561e-08,9.91e+307,0.75,9.91e+307,0.038054
2.3,0.0,3.3,7.8509e-09,9.91e+307,0.75,9.91e+307,0.027352
2.35,0.0,3.3,1.52496e-08,9.91e+307,0.75,9.91e+307,0.021776
2.4,0.0,3.3,9.2817e-09,9.91e+307,0.75,9.91e+307,0.01404
2.45,0.0,3.3,2.0927e-10,9.91e+307,0.75,9.91e+307,0.00091
2.5,0.0,3.3,1.5135e-10,9.91e+307,0.75,9.91e+307,0.000242
2.55,0.0,3.3,8.625e-11,9.91e+307,0.75,9.91e+307,0.000106
2.6,0.0,3.3,7.677e-11,9.91e+307,0.75,9.91e+307,0.0001
2.65,0.0,3.3,6.825e-11,9.91e+307,0.75,9.91e+307,0.000168
2.7,0.0,3.3,1.1075e-10,9.91e+307,0.75,9.91e+307,0.00013
2.75,0.0,3.3,1.3471e-10,9.91e+307,0.75,9.91e+307,0.000178
2.8,0.0,3.3,1.3191e-10,9.91e+307,0.75,9.91e+307,0.000322
2.85,0.0,3.3,1.2385e-10,9.91e+307,0.75,9.91e+307,0.000166
2.9,0.0,3.3,7.248e-11,9.91e+307,0.75,9.91e+307,0.000154
2.95,0.0,3.3,9.89e-11,9.91e+307,0.75,9.91e+307,0.000156
3.0,0.0,3.3,8.46e-11,9.91e+307,0.75,9.91e+307,0.000214
0.0,0.0,3.3,-4.5e-13,9.91e+307,1.0,9.91e+307,-4e-06
0.05,0.0,3.3,3.2e-13,9.91e+307,1.0,9.91e+307,-2e-06
0.1,0.0,3.3,2.7e-13,9.91e+307,1.0,9.91e+307,-6e-06
0.15,0.0,3.3,1.91e-12,9.91e+307,1.0,9.91e+307,-6e-06
0.2,0.0,3.3,9.9e-12,9.91e+307,1.0,9.91e+307,4e-06
0.25,0.0,3.3,4.874e-11,9.91e+307,1.0,9.91e+307,3.2e-05
0.3,0.0,3.3,1.2206e-10,9.91e+307,1.0,9.91e+307,0.000148
0.35,0.0,3.3,8.96e-11,9.91e+307,1.0,9.91e+307,4.8e-05
0.4,0.0,3.3,6.719e-11,9.91e+307,1.0,9.91e+307,4.8e-05
0.45,0.0,3.3,9.557e-11,9.91e+307,1.0,9.91e+307,6e-05
0.5,0.0,3.3,7.266e-11,9.91e+307,1.0,9.91e+307,7.6e-05
0.55,0.0,3.3,7.369e-11,9.91e+307,1.0,9.91e+307,6.6e-05
0.6,0.0,3.3,5.531e-11,9.91e+307,1.0,9.91e+307,3.6e-05
0.65,0.0,3.3,6.383e-11,9.91e+307,1.0,9.91e+307,6.2e-05
0.7,0.0,3.3,7.473e-11,9.91e+307,1.0,9.91e+307,4.8e-05
0.75,0.0,3.3,8.23e-11,9.91e+307,1.0,9.91e+307,5.6e-05
0.8,0.0,3.3,9.771e-11,9.91e+307,1.0,9.91e+307,5.2e-05
0.85,0.0,3.3,5.676e-11,9.91e+307,1.0,9.91e+307,4.2e-05
0.9,0.0,3.3,5.75e-11,9.91e+307,1.0,9.91e+307,4.2e-05
0.95,0.0,3.3,4.21e-11,9.91e+307,1.0,9.91e+307,6.6e-05
1.0,0.0,3.3,5.624e-11,9.91e+307,1.0,9.91e+307,3.2e-05
1.05,0.0,3.3,5.205e-11,9.91e+307,1.0,9.91e+307,5.6e-05
1.1,0.0,3.3,5.995e-11,9.91e+307,1.0,9.91e+307,2.8e-05
1.15,0.0,3.3,5.141e-11,9.91e+307,1.0,9.91e+307,4e-05
1.2,0.0,3.3,8.274e-11,9.91e+307,1.0,9.91e+307,4.8e-05
1.25,0.0,3.3,7.137e-11,9.91e+307,1.0,9.91e+307,5.6e-05
1.3,0.0,3.3,7.68e-11,9.91e+307,1.0,9.91e+307,3.4e-05
1.35,0.0,3.3,5.558e-11,9.91e+307,1.0,9.91e+307,6.4e-05
